Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,No,Non-Travel,427,Human Resources,28,1,Life Sciences,1,1,1,Female,94,4,4,Sales Representative,1,Married,16094,2925,4,Y,No,16,2,3,80,3,32,1,4,28,13,4,0
50,Yes,Travel_Rarely,1010,Sales,20,2,Technical Degree,1,2,2,Male,42,2,3,Healthcare Representative,1,Married,12941,15249,2,Y,No,18,3,3,80,0,0,4,4,23,6,5,1
44,No,Travel_Rarely,1392,Research & Development,21,1,Life Sciences,1,3,3,Male,60,2,4,Sales Executive,4,Married,4816,24487,6,Y,No,17,2,2,80,1,38,1,4,4,13,11,8
22,No,Travel_Frequently,1461,Research & Development,5,2,Marketing,1,4,3,Female,64,4,3,Healthcare Representative,4,Divorced,8828,21832,3,Y,No,11,2,4,80,0,16,1,2,8,2,11,9
50,No,Travel_Frequently,451,Sales,22,2,Other,1,5,4,Female,64,4,2,Laboratory Technician,4,Divorced,18928,21041,6,Y,Yes,15,3,1,80,3,24,0,2,16,9,12,2
27,No,Travel_Rarely,1309,Human Resources,14,3,Marketing,1,6,4,Female,87,2,1,Manufacturing Director,2,Single,15747,11671,3,Y,Yes,11,1,2,80,2,29,1,4,24,7,0,3
31,No,Travel_Frequently,323,Sales,21,4,Other,1,7,1,Female,95,2,2,Healthcare Representative,1,Divorced,11398,12948,9,Y,No,17,4,1,80,3,20,4,3,8,17,1,11
58,No,Travel_Frequently,763,Research & Development,20,3,Medical,1,8,2,Male,42,4,5,Research Scientist,2,Divorced,13315,9774,4,Y,Yes,19,4,2,80,3,28,4,2,2,6,11,13
44,No,Travel_Frequently,1378,Research & Development,25,2,Marketing,1,9,2,Female,57,1,4,Laboratory Technician,3,Single,18590,9639,9,Y,Yes,19,4,4,80,0,1,4,1,19,6,7,3
26,No,Non-Travel,695,Research & Development,18,2,Other,1,10,4,Female,81,2,2,Human Resources,2,Divorced,14286,4015,8,Y,Yes,18,3,2,80,3,3,2,1,14,6,6,13
35,No,Travel_Rarely,132,Research & Development,12,2,Marketing,1,11,2,Male,80,1,1,Manufacturing Director,4,Married,9764,5882,6,Y,Yes,14,1,3,80,0,13,3,1,25,10,7,12
49,No,Non-Travel,1356,Human Resources,23,1,Technical Degree,1,12,2,Female,43,1,4,Sales Executive,1,Divorced,10997,8630,9,Y,Yes,16,3,4,80,0,2,0,1,22,6,4,13
21,No,Travel_Frequently,816,Human Resources,23,2,Marketing,1,13,2,Female,71,1,5,Human Resources,1,Married,4074,7279,1,Y,Yes,17,3,4,80,2,8,5,1,25,2,6,8
40,No,Travel_Frequently,174,Sales,2,4,Medical,1,14,3,Female,40,2,1,Manager,3,Divorced,17246,11459,9,Y,No,10,3,1,80,1,27,3,1,21,10,8,3
47,No,Travel_Rarely,191,Sales,27,4,Marketing,1,15,3,Male,73,3,5,Laboratory Technician,2,Divorced,8752,20392,2,Y,No,24,3,1,80,1,17,0,3,6,3,0,2
54,No,Travel_Rarely,980,Human Resources,10,4,Medical,1,16,4,Male,40,3,3,Manager,1,Married,5465,22496,1,Y,No,23,1,1,80,3,8,2,3,21,11,7,12
35,Yes,Travel_Frequently,1320,Human Resources,22,3,Marketing,1,17,4,Male,50,4,4,Sales Executive,4,Divorced,11473,19278,2,Y,Yes,20,4,4,80,3,4,1,1,29,7,5,8
46,No,Travel_Frequently,587,Sales,20,1,Technical Degree,1,18,3,Female,31,3,1,Manufacturing Director,3,Married,18016,22623,6,Y,No,19,4,1,80,0,12,3,3,12,18,11,11
25,No,Travel_Rarely,958,Sales,14,1,Medical,1,19,4,Female,68,2,5,Human Resources,3,Divorced,13915,9270,6,Y,Yes,13,2,1,80,3,21,5,2,2,9,6,7
48,No,Travel_Frequently,1154,Sales,14,4,Life Sciences,1,20,3,Male,34,3,5,Sales Executive,4,Divorced,10307,21215,7,Y,Yes,14,3,1,80,3,31,3,4,14,0,4,2
22,Yes,Travel_Frequently,211,Human Resources,2,2,Technical Degree,1,21,4,Male,69,4,1,Sales Executive,3,Married,2105,8679,7,Y,No,14,1,3,80,2,9,0,3,27,18,4,3
45,No,Travel_Frequently,842,Human Resources,4,1,Life Sciences,1,22,4,Female,49,1,5,Sales Representative,4,Married,2796,21000,2,Y,Yes,17,1,3,80,0,22,5,4,2,0,13,11
29,No,Travel_Rarely,666,Human Resources,16,4,Other,1,23,4,Male,35,1,4,Laboratory Technician,3,Divorced,18584,24313,8,Y,No,13,3,4,80,0,23,0,4,15,11,6,9
20,Yes,Non-Travel,198,Human Resources,6,3,Marketing,1,24,2,Female,96,2,5,Healthcare Representative,3,Single,1374,24275,6,Y,Yes,14,2,3,80,2,5,3,2,5,7,9,14
38,Yes,Travel_Frequently,391,Research & Development,1,2,Technical Degree,1,25,1,Male,70,2,4,Healthcare Representative,4,Married,12315,8431,7,Y,No,12,4,2,80,2,21,2,1,16,19,3,3
26,No,Non-Travel,774,Human Resources,22,1,Technical Degree,1,26,2,Male,92,3,3,Sales Representative,1,Single,18945,7444,5,Y,No,23,4,4,80,1,6,0,2,8,1,10,5
59,No,Travel_Rarely,326,Sales,5,1,Other,1,27,3,Male,90,2,3,Sales Executive,2,Single,17306,7115,4,Y,Yes,17,2,2,80,2,28,4,2,10,4,12,13
41,No,Travel_Rarely,724,Sales,22,1,Marketing,1,28,4,Male,78,3,3,Manager,1,Married,6406,23202,7,Y,No,10,2,4,80,0,15,4,4,23,7,5,3
38,No,Travel_Rarely,696,Sales,7,2,Other,1,29,4,Female,52,4,3,Healthcare Representative,3,Divorced,14153,21169,1,Y,Yes,22,1,4,80,2,1,1,2,11,6,12,2
50,No,Non-Travel,298,Research & Development,11,3,Other,1,30,1,Male,73,3,4,Laboratory Technician,3,Divorced,10216,8443,1,Y,Yes,21,1,4,80,2,14,4,2,13,19,4,0
28,No,Travel_Rarely,495,Sales,15,1,Technical Degree,1,31,2,Male,95,1,1,Sales Representative,4,Married,13619,8727,3,Y,No,20,3,4,80,2,8,4,3,2,7,8,1
59,No,Travel_Frequently,613,Research & Development,25,3,Other,1,32,1,Female,68,4,5,Laboratory Technician,3,Single,11177,2545,9,Y,Yes,17,3,2,80,0,15,1,3,12,6,3,14
27,No,Non-Travel,638,Sales,27,4,Technical Degree,1,33,4,Male,35,1,2,Human Resources,4,Married,7704,22121,4,Y,No,19,3,2,80,0,11,1,4,10,5,9,12
44,No,Travel_Frequently,1331,Human Resources,8,1,Life Sciences,1,34,2,Male,95,3,2,Human Resources,2,Married,9473,16013,1,Y,Yes,15,2,2,80,0,27,4,3,26,5,1,4
28,Yes,Travel_Frequently,978,Research & Development,23,4,Medical,1,35,1,Female,32,2,1,Laboratory Technician,4,Divorced,3912,17956,2,Y,Yes,12,4,3,80,3,36,0,3,20,6,3,7
18,Yes,Travel_Rarely,1309,Sales,10,4,Marketing,1,36,4,Female,98,3,3,Sales Representative,3,Married,9717,13067,3,Y,No,14,3,2,80,2,17,4,4,5,1,9,1
40,Yes,Non-Travel,1080,Human Resources,18,4,Life Sciences,1,37,3,Male,52,1,3,Human Resources,1,Married,13323,4163,2,Y,Yes,17,4,1,80,3,10,5,2,3,13,12,2
49,No,Travel_Frequently,1111,Human Resources,14,2,Technical Degree,1,38,4,Male,97,4,1,Manufacturing Director,4,Married,2725,14465,5,Y,No,19,2,3,80,0,39,2,1,22,15,13,12
38,No,Travel_Rarely,1283,Research & Development,3,2,Technical Degree,1,39,3,Female,99,1,2,Manager,3,Divorced,3221,14246,5,Y,No,18,3,2,80,2,32,4,4,9,8,14,8
20,No,Travel_Frequently,460,Human Resources,2,3,Marketing,1,40,1,Female,55,4,5,Manufacturing Director,3,Married,3414,2925,3,Y,Yes,19,4,4,80,2,22,5,3,3,19,13,6
