Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
46,No,Travel_Frequently,831,Human Resources,23,3,Marketing,1,1,4,Female,92,4,5,Sales Executive,3,Single,8927,15980,2,Y,Yes,16,2,2,80,2,35,2,1,9,8,6,7
59,No,Travel_Frequently,1366,Sales,24,1,Life Sciences,1,2,1,Female,63,2,5,Healthcare Representative,3,Married,19437,15466,9,Y,Yes,18,3,4,80,0,26,1,1,27,7,12,10
34,Yes,Travel_Frequently,461,Human Resources,4,1,Technical Degree,1,3,3,Female,40,3,2,Sales Representative,3,Married,6710,7065,2,Y,No,16,3,1,80,0,17,3,4,8,11,2,7
39,Yes,Non-Travel,1397,Research & Development,16,2,Life Sciences,1,4,1,Female,90,1,1,Research Scientist,1,Single,10417,13145,3,Y,No,11,2,2,80,3,39,5,3,19,11,8,12
25,No,Travel_Frequently,721,Research & Development,16,2,Marketing,1,5,4,Male,96,4,3,Healthcare Representative,1,Married,14252,5729,5,Y,No,18,4,3,80,1,29,5,2,18,15,4,1
58,No,Non-Travel,632,Sales,26,4,Life Sciences,1,6,4,Male,59,2,3,Healthcare Representative,4,Divorced,7205,15965,4,Y,Yes,14,1,1,80,3,6,0,1,13,2,10,10
20,Yes,Travel_Frequently,692,Sales,25,4,Technical Degree,1,7,3,Female,60,2,2,Human Resources,2,Single,11004,16452,5,Y,Yes,17,1,2,80,3,3,2,1,13,11,6,2
48,No,Travel_Frequently,1333,Research & Development,10,2,Medical,1,8,3,Female,43,3,5,Manufacturing Director,3,Divorced,8513,6671,5,Y,No,12,2,2,80,2,5,1,1,29,2,12,9
40,No,Travel_Frequently,666,Human Resources,19,1,Other,1,9,2,Female,68,3,1,Laboratory Technician,3,Single,2012,19669,3,Y,Yes,17,4,1,80,0,17,0,4,23,14,5,2
39,Yes,Non-Travel,1283,Human Resources,25,4,Technical Degree,1,10,1,Male,92,4,1,Laboratory Technician,4,Married,3959,20764,4,Y,Yes,12,1,1,80,3,17,2,2,2,19,1,9
44,No,Non-Travel,146,Human Resources,7,3,Medical,1,11,2,Male,91,2,5,Research Scientist,2,Divorced,14747,21372,4,Y,Yes,21,4,1,80,1,10,5,3,28,6,7,6
21,Yes,Travel_Rarely,334,Sales,22,3,Marketing,1,12,1,Male,60,4,1,Sales Executive,2,Married,7016,21717,7,Y,Yes,12,1,1,80,3,13,1,4,24,6,12,12
29,No,Travel_Frequently,755,Research & Development,22,2,Marketing,1,13,4,Female,79,3,2,Manufacturing Director,2,Married,19030,11164,2,Y,No,22,4,1,80,2,19,0,3,21,9,12,2
48,No,Travel_Rarely,731,Sales,2,3,Other,1,14,2,Female,74,1,4,Human Resources,2,Single,4436,14418,2,Y,Yes,19,3,4,80,1,20,5,3,0,5,9,7
29,No,Non-Travel,252,Sales,29,4,Technical Degree,1,15,1,Female,40,1,1,Sales Executive,1,Divorced,10325,10336,3,Y,Yes,17,3,4,80,1,22,2,2,13,0,2,14
30,No,Travel_Rarely,1290,Research & Development,8,2,Other,1,16,3,Female,39,1,5,Research Scientist,2,Divorced,3865,23075,8,Y,No,15,1,4,80,0,33,5,4,16,4,12,5
35,No,Non-Travel,1052,Human Resources,5,1,Other,1,17,3,Female,93,2,1,Healthcare Representative,3,Divorced,3768,12102,2,Y,Yes,15,1,4,80,3,35,1,4,6,13,9,4
52,Yes,Travel_Frequently,220,Sales,16,1,Technical Degree,1,18,1,Female,52,4,4,Manager,2,Married,5731,23126,7,Y,Yes,17,1,3,80,1,35,4,2,12,10,9,1
44,No,Non-Travel,357,Human Resources,15,4,Other,1,19,1,Male,82,2,2,Sales Executive,4,Divorced,12860,6607,8,Y,No,16,3,1,80,3,8,3,2,26,17,5,11
52,No,Travel_Rarely,248,Research & Development,12,3,Other,1,20,4,Female,86,2,5,Manager,1,Single,11676,14801,1,Y,No,17,3,2,80,2,33,0,1,10,1,11,10
18,No,Non-Travel,556,Research & Development,14,4,Marketing,1,21,2,Female,57,1,1,Healthcare Representative,3,Divorced,14050,15975,3,Y,No,22,4,3,80,0,35,1,3,6,13,8,10
36,No,Travel_Frequently,373,Research & Development,10,2,Other,1,22,2,Female,96,2,2,Healthcare Representative,3,Single,10545,3515,3,Y,Yes,12,4,1,80,3,35,4,4,24,0,11,10
59,No,Travel_Rarely,430,Human Resources,28,4,Other,1,23,4,Male,31,4,4,Human Resources,4,Married,9442,13801,0,Y,No,12,4,4,80,0,4,5,4,27,6,2,9
23,No,Travel_Rarely,494,Human Resources,18,3,Technical Degree,1,24,4,Male,69,2,5,Sales Representative,2,Single,15864,13572,7,Y,No,18,1,4,80,0,31,4,2,29,10,8,10
23,No,Travel_Rarely,277,Human Resources,19,1,Other,1,25,3,Female,72,1,5,Healthcare Representative,3,Divorced,5422,15888,5,Y,Yes,20,4,2,80,3,35,4,1,4,1,3,7
44,No,Non-Travel,975,Human Resources,13,4,Other,1,26,2,Female,62,3,5,Research Scientist,3,Single,4831,19510,5,Y,Yes,10,3,2,80,2,25,3,3,18,14,3,12
51,No,Travel_Frequently,1349,Human Resources,9,2,Life Sciences,1,27,2,Male,46,1,3,Research Scientist,2,Married,18892,9509,1,Y,No,16,2,4,80,2,22,0,3,8,12,6,8
43,Yes,Travel_Frequently,1025,Research & Development,4,2,Technical Degree,1,28,3,Female,36,4,3,Sales Representative,3,Single,2502,10935,4,Y,Yes,20,3,2,80,0,24,1,3,26,6,13,6
52,No,Non-Travel,448,Research & Development,9,2,Medical,1,29,4,Female,92,3,2,Sales Representative,1,Married,6381,18621,1,Y,No,13,2,1,80,3,5,0,2,3,4,5,2
26,No,Travel_Rarely,1043,Human Resources,6,3,Medical,1,30,2,Male,69,2,3,Research Scientist,1,Single,4736,15063,8,Y,Yes,24,4,2,80,2,36,5,2,9,2,9,2
22,No,Travel_Frequently,464,Research & Development,9,3,Life Sciences,1,31,1,Female,67,3,1,Laboratory Technician,1,Divorced,15296,4594,4,Y,Yes,21,3,1,80,1,16,0,3,16,14,5,12
39,No,Travel_Frequently,814,Research & Development,7,2,Technical Degree,1,32,4,Male,38,3,4,Human Resources,2,Divorced,5276,7013,7,Y,No,17,3,1,80,0,31,2,2,8,7,12,1
38,Yes,Non-Travel,392,Sales,7,4,Technical Degree,1,33,4,Female,98,1,5,Manager,2,Married,10552,2713,8,Y,Yes,11,2,2,80,3,32,5,2,9,19,7,9
26,No,Travel_Rarely,839,Research & Development,18,2,Other,1,34,2,Male,98,1,5,Research Scientist,1,Married,12298,14216,4,Y,Yes,14,4,3,80,0,35,1,3,6,9,12,4
48,No,Travel_Frequently,439,Research & Development,9,4,Life Sciences,1,35,4,Female,76,3,3,Sales Executive,1,Divorced,16249,4035,6,Y,Yes,23,2,3,80,3,33,3,2,1,11,4,3
27,Yes,Travel_Rarely,1410,Human Resources,9,2,Life Sciences,1,36,2,Female,40,3,3,Healthcare Representative,1,Single,5446,13146,7,Y,Yes,13,2,4,80,0,32,4,1,0,18,0,13
53,Yes,Non-Travel,327,Sales,23,2,Life Sciences,1,37,3,Male,30,2,5,Healthcare Representative,1,Single,4095,2928,5,Y,No,19,3,2,80,2,11,2,3,28,16,5,0
37,No,Non-Travel,714,Sales,4,3,Marketing,1,38,1,Male,95,1,1,Human Resources,2,Divorced,9213,24717,8,Y,No,23,1,4,80,0,16,4,3,22,9,3,11
32,No,Non-Travel,927,Sales,21,2,Life Sciences,1,39,3,Female,59,3,3,Manager,1,Divorced,17698,17445,2,Y,Yes,10,1,2,80,3,23,3,4,8,4,12,13
22,No,Travel_Frequently,462,Research & Development,9,3,Other,1,40,2,Female,65,1,1,Manager,3,Single,7208,8875,5,Y,Yes,24,1,2,80,1,31,3,3,23,18,12,11
39,Yes,Travel_Rarely,558,Research & Development,22,4,Life Sciences,1,41,1,Male,47,2,3,Laboratory Technician,3,Married,5177,2013,6,Y,Yes,16,1,3,80,3,16,3,1,5,0,10,6
44,Yes,Travel_Rarely,1007,Human Resources,19,2,Life Sciences,1,42,3,Male,37,1,4,Sales Executive,4,Married,19492,21871,0,Y,No,18,1,2,80,3,33,4,3,6,0,2,9
46,No,Non-Travel,728,Human Resources,13,4,Medical,1,43,1,Male,99,2,4,Manufacturing Director,4,Divorced,15115,18484,8,Y,Yes,18,4,1,80,1,19,4,1,3,14,11,3
25,Yes,Travel_Frequently,280,Sales,22,2,Marketing,1,44,2,Female,97,4,2,Research Scientist,1,Married,15476,21770,6,Y,No,16,1,4,80,3,20,5,2,8,5,6,13
28,Yes,Travel_Frequently,1171,Research & Development,11,2,Marketing,1,45,1,Female,38,3,1,Sales Executive,3,Single,6544,21330,5,Y,Yes,18,2,2,80,3,22,0,2,0,8,0,0
48,No,Travel_Rarely,564,Sales,25,3,Technical Degree,1,46,1,Female,42,2,5,Manufacturing Director,4,Single,11678,2549,4,Y,Yes,12,2,2,80,1,37,1,1,0,13,5,1
36,Yes,Travel_Rarely,836,Human Resources,10,2,Other,1,47,2,Male,72,1,1,Sales Executive,3,Divorced,1614,5992,7,Y,Yes,16,1,1,80,3,3,3,3,13,15,2,8
44,Yes,Non-Travel,179,Research & Development,2,2,Technical Degree,1,48,2,Male,81,1,1,Manager,3,Married,10132,14999,2,Y,Yes,16,2,4,80,2,17,2,4,14,3,13,5
34,No,Non-Travel,414,Research & Development,11,4,Technical Degree,1,49,4,Female,85,2,4,Sales Executive,4,Single,6830,13078,3,Y,Yes,23,4,3,80,3,4,5,1,6,4,10,7
36,Yes,Travel_Frequently,386,Research & Development,9,3,Marketing,1,50,2,Female,97,2,1,Sales Representative,1,Married,12158,7966,2,Y,No,14,1,4,80,3,9,4,4,29,8,11,6
28,No,Non-Travel,272,Research & Development,28,4,Technical Degree,1,51,4,Female,39,2,2,Manager,2,Married,16301,15496,9,Y,No,20,3,2,80,2,3,2,4,7,11,3,3
56,No,Non-Travel,636,Human Resources,20,2,Marketing,1,52,3,Female,35,4,4,Sales Representative,1,Married,1285,8436,9,Y,Yes,14,2,3,80,2,26,4,3,23,1,12,13
34,No,Non-Travel,1293,Human Resources,19,2,Marketing,1,53,2,Female,87,4,3,Sales Representative,2,Divorced,8420,11505,0,Y,No,21,2,4,80,2,34,5,4,19,4,6,10
42,Yes,Travel_Rarely,401,Research & Development,21,4,Technical Degree,1,54,3,Female,39,4,1,Laboratory Technician,3,Single,11674,21156,9,Y,Yes,22,2,1,80,2,18,4,1,24,12,1,6
54,Yes,Non-Travel,1135,Sales,2,2,Medical,1,55,1,Male,60,2,2,Sales Executive,3,Divorced,15170,19572,3,Y,Yes,11,3,4,80,1,27,0,3,14,10,7,5
51,No,Travel_Rarely,1048,Sales,5,1,Medical,1,56,4,Male,62,2,3,Human Resources,3,Married,3159,12299,7,Y,No,13,4,1,80,1,38,0,3,14,5,7,11
26,No,Travel_Rarely,693,Sales,16,4,Other,1,57,2,Male,62,1,1,Manufacturing Director,4,Divorced,5177,4000,6,Y,Yes,22,1,1,80,3,2,4,3,24,2,10,7
43,No,Travel_Rarely,246,Research & Development,3,3,Life Sciences,1,58,2,Female,66,4,3,Human Resources,2,Married,11949,23799,7,Y,No,15,4,2,80,0,0,3,2,26,18,14,13
52,No,Non-Travel,662,Research & Development,4,3,Life Sciences,1,59,4,Male,52,2,5,Laboratory Technician,3,Divorced,3909,24211,2,Y,Yes,10,4,2,80,3,28,0,1,7,10,12,14
33,Yes,Travel_Frequently,1353,Sales,14,3,Life Sciences,1,60,4,Male,87,3,3,Manufacturing Director,3,Married,2119,23987,3,Y,Yes,23,3,1,80,3,4,3,2,25,15,7,2
19,Yes,Travel_Rarely,1367,Research & Development,25,3,Technical Degree,1,61,1,Female,57,1,5,Research Scientist,1,Married,19200,21283,3,Y,Yes,11,1,2,80,3,13,0,4,24,10,3,8
45,Yes,Travel_Frequently,1292,Human Resources,16,2,Other,1,62,1,Male,71,1,1,Sales Executive,2,Single,18895,10107,1,Y,Yes,18,4,2,80,3,38,5,2,18,16,6,3
