Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,No,Travel_Frequently,1236,Research & Development,15,1,Technical Degree,1,1,4,Male,68,4,1,Sales Representative,4,Divorced,3344,10935,2,Y,No,15,2,2,80,1,30,0,2,12,14,9,2
45,No,Non-Travel,522,Sales,18,3,Other,1,2,2,Female,36,4,1,Healthcare Representative,3,Single,2477,10876,5,Y,No,13,4,1,80,2,36,4,3,22,15,3,10
55,No,Non-Travel,157,Research & Development,14,4,Life Sciences,1,3,1,Male,85,4,4,Research Scientist,1,Single,18013,14295,8,Y,Yes,13,1,1,80,1,9,5,3,17,13,8,4
43,No,Travel_Frequently,1082,Research & Development,10,3,Life Sciences,1,4,4,Male,63,4,3,Manufacturing Director,3,Married,14407,8918,4,Y,No,16,2,1,80,2,34,5,1,9,18,2,14
51,No,Non-Travel,838,Sales,24,1,Life Sciences,1,5,4,Female,84,2,5,Healthcare Representative,3,Divorced,13908,6609,8,Y,No,18,3,2,80,2,6,4,4,17,6,10,3
55,No,Travel_Frequently,1388,Human Resources,19,3,Technical Degree,1,6,3,Male,55,4,1,Sales Representative,2,Single,1356,7882,0,Y,Yes,23,1,2,80,2,26,5,3,8,6,7,4
37,No,Travel_Rarely,996,Sales,14,1,Life Sciences,1,7,1,Female,51,1,4,Research Scientist,3,Divorced,18961,3477,1,Y,Yes,22,2,3,80,0,39,0,1,28,16,0,12
55,No,Travel_Frequently,448,Sales,18,1,Technical Degree,1,8,2,Female,59,4,4,Healthcare Representative,2,Divorced,15357,24703,2,Y,Yes,16,4,3,80,0,16,4,2,13,5,13,5
39,Yes,Non-Travel,750,Sales,13,3,Technical Degree,1,9,2,Female,31,1,5,Manufacturing Director,3,Single,1711,8522,5,Y,No,19,2,4,80,0,37,4,2,19,7,14,8
41,Yes,Travel_Rarely,221,Research & Development,1,3,Medical,1,10,2,Male,58,1,1,Human Resources,3,Single,14035,4195,4,Y,No,15,3,3,80,3,25,0,2,16,1,6,11
