Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
27,No,Travel_Rarely,218,Sales,25,1,Other,1,1,2,Female,57,3,3,Research Scientist,2,Married,10864,18346,2,Y,No,22,1,3,80,1,19,3,4,8,4,11,3
38,Yes,Travel_Frequently,112,Sales,23,4,Other,1,2,2,Female,83,1,1,Human Resources,1,Single,15838,12848,2,Y,Yes,18,3,3,80,1,28,0,1,4,0,11,13
18,No,Travel_Rarely,146,Human Resources,24,1,Life Sciences,1,3,4,Female,92,4,5,Laboratory Technician,2,Divorced,2729,23411,5,Y,Yes,19,2,3,80,2,24,5,2,0,17,10,0
29,No,Travel_Frequently,527,Sales,2,1,Other,1,4,4,Female,94,3,4,Sales Executive,2,Married,1891,24855,2,Y,No,12,3,1,80,0,7,0,4,20,0,14,1
37,Yes,Non-Travel,192,Human Resources,13,1,Life Sciences,1,5,1,Male,92,2,1,Laboratory Technician,4,Single,12765,18710,0,Y,Yes,11,2,4,80,0,19,1,2,16,9,1,10
43,No,Travel_Frequently,244,Human Resources,19,4,Technical Degree,1,6,3,Female,63,1,3,Healthcare Representative,1,Married,8109,7477,8,Y,No,22,2,1,80,0,37,0,3,20,13,4,6
22,No,Non-Travel,624,Research & Development,3,2,Other,1,7,1,Female,85,1,2,Manager,1,Divorced,11704,15270,3,Y,No,18,4,3,80,3,9,1,3,20,6,13,1
48,No,Travel_Frequently,820,Research & Development,21,4,Technical Degree,1,8,4,Male,94,3,5,Laboratory Technician,4,Married,6657,10980,0,Y,No,24,2,3,80,2,34,3,4,25,4,12,4
33,No,Travel_Frequently,1431,Research & Development,26,1,Other,1,9,2,Male,55,2,4,Manager,1,Married,13803,5770,7,Y,No,12,2,4,80,2,14,2,2,8,13,10,0
34,Yes,Travel_Rarely,711,Research & Development,5,1,Other,1,10,2,Male,54,1,4,Healthcare Representative,1,Single,15463,13554,5,Y,No,22,4,1,80,1,19,0,2,11,3,0,4
50,No,Non-Travel,617,Human Resources,6,2,Technical Degree,1,11,4,Male,62,1,5,Manager,4,Single,5047,17466,6,Y,Yes,19,3,2,80,0,14,1,3,10,16,2,8
45,No,Travel_Rarely,434,Sales,5,3,Other,1,12,4,Male,59,3,5,Manufacturing Director,3,Married,9262,16380,9,Y,Yes,10,3,1,80,2,6,4,1,16,8,14,10
43,No,Non-Travel,1195,Human Resources,25,2,Marketing,1,13,1,Female,55,4,3,Laboratory Technician,4,Single,12319,24369,1,Y,No,21,4,4,80,3,6,1,1,9,16,1,0
19,No,Non-Travel,100,Research & Development,16,3,Life Sciences,1,14,2,Female,52,1,5,Human Resources,4,Married,19087,8259,1,Y,No,14,1,3,80,1,29,3,4,1,11,13,6
48,Yes,Non-Travel,541,Human Resources,14,1,Life Sciences,1,15,2,Male,52,2,2,Healthcare Representative,4,Married,17934,3055,0,Y,Yes,13,1,1,80,3,21,1,3,6,3,7,13
39,No,Travel_Frequently,955,Sales,7,1,Life Sciences,1,16,1,Female,41,4,1,Healthcare Representative,4,Married,2854,11523,4,Y,No,11,3,3,80,2,25,0,1,24,9,14,0
36,No,Non-Travel,218,Research & Development,8,2,Life Sciences,1,17,1,Female,72,4,4,Sales Representative,4,Married,17837,16753,3,Y,No,18,3,2,80,1,0,5,3,24,1,6,7
56,No,Travel_Rarely,629,Human Resources,22,4,Marketing,1,18,2,Female,94,2,4,Healthcare Representative,2,Married,4792,17306,2,Y,Yes,15,2,4,80,0,15,1,1,5,4,5,6
47,Yes,Travel_Frequently,872,Human Resources,20,4,Marketing,1,19,2,Male,41,4,5,Healthcare Representative,1,Single,2522,9023,4,Y,Yes,21,4,3,80,2,33,4,3,9,15,3,1
25,No,Travel_Rarely,1405,Research & Development,23,4,Technical Degree,1,20,1,Male,44,2,1,Manager,2,Single,8226,12247,6,Y,No,15,1,1,80,0,34,5,1,5,11,6,7
20,No,Travel_Frequently,889,Sales,4,2,Medical,1,21,2,Male,93,1,4,Sales Representative,3,Divorced,11079,14443,7,Y,Yes,16,1,1,80,0,20,1,4,22,9,5,2
58,No,Travel_Rarely,1069,Human Resources,4,1,Marketing,1,22,3,Male,86,2,3,Manufacturing Director,4,Single,13487,18901,6,Y,No,16,2,4,80,1,26,1,4,5,19,14,1
39,No,Travel_Frequently,421,Research & Development,5,4,Technical Degree,1,23,2,Male,33,1,2,Human Resources,4,Divorced,7685,24668,8,Y,No,12,1,4,80,3,0,1,3,14,4,8,14
42,Yes,Travel_Rarely,538,Sales,7,1,Medical,1,24,1,Male,79,1,4,Manufacturing Director,1,Divorced,8954,13657,8,Y,No,19,1,3,80,0,1,4,2,1,0,4,14
58,No,Travel_Frequently,1188,Sales,24,1,Other,1,25,4,Male,30,3,4,Manufacturing Director,2,Divorced,2191,14048,1,Y,Yes,13,4,4,80,3,23,0,3,26,11,1,1
32,Yes,Non-Travel,645,Human Resources,12,2,Medical,1,26,1,Male,31,1,3,Sales Executive,4,Married,14598,8992,0,Y,Yes,24,4,4,80,3,39,5,1,1,16,13,4
52,No,Travel_Rarely,977,Research & Development,22,2,Medical,1,27,3,Female,96,1,1,Laboratory Technician,4,Single,18857,16094,3,Y,No,14,4,4,80,2,3,2,4,10,18,10,8
25,No,Travel_Rarely,957,Sales,23,1,Other,1,28,1,Male,81,2,4,Sales Executive,2,Divorced,6588,5261,9,Y,No,13,2,2,80,2,35,2,3,3,13,5,6
42,No,Travel_Frequently,179,Sales,24,3,Marketing,1,29,4,Male,84,3,1,Sales Executive,1,Single,2236,14739,9,Y,No,12,3,4,80,2,2,2,2,29,15,13,6
53,No,Non-Travel,341,Human Resources,21,1,Medical,1,30,2,Female,44,2,2,Manager,4,Divorced,2160,24110,9,Y,No,11,3,3,80,2,11,1,4,3,10,0,9
45,No,Travel_Rarely,568,Sales,3,2,Life Sciences,1,31,4,Male,55,4,4,Manufacturing Director,2,Divorced,4779,21181,1,Y,No,22,4,1,80,0,38,3,3,22,5,5,14
42,No,Travel_Frequently,1106,Human Resources,22,3,Medical,1,32,1,Female,68,2,1,Sales Executive,3,Divorced,16021,7147,9,Y,Yes,20,4,3,80,1,29,2,4,16,18,12,3
44,No,Travel_Frequently,407,Human Resources,14,3,Life Sciences,1,33,4,Female,97,3,5,Manager,3,Single,5740,23584,2,Y,Yes,16,1,3,80,2,11,1,2,24,0,10,4
55,No,Non-Travel,1496,Research & Development,7,4,Medical,1,34,4,Female,78,3,2,Research Scientist,2,Married,4491,17913,6,Y,No,22,3,4,80,0,17,5,4,23,16,14,13
39,No,Travel_Rarely,211,Research & Development,25,1,Technical Degree,1,35,1,Female,54,3,3,Sales Executive,1,Married,6453,4411,4,Y,No,18,3,2,80,0,6,3,3,24,15,8,4
29,Yes,Non-Travel,809,Research & Development,22,4,Medical,1,36,4,Male,94,3,2,Human Resources,1,Married,5315,22251,5,Y,No,20,2,2,80,0,36,0,2,2,18,4,0
59,No,Travel_Frequently,1386,Research & Development,19,1,Technical Degree,1,37,4,Female,48,4,4,Human Resources,4,Divorced,7791,5105,3,Y,No,10,2,3,80,0,35,3,1,13,14,14,4
38,No,Travel_Rarely,267,Human Resources,3,4,Technical Degree,1,38,1,Male,69,1,1,Research Scientist,2,Married,3839,16715,6,Y,No,11,1,3,80,1,29,1,1,10,18,8,9
37,No,Travel_Frequently,1337,Sales,9,2,Technical Degree,1,39,2,Male,94,3,5,Sales Executive,4,Married,19048,19639,7,Y,No,15,1,4,80,2,1,5,3,28,12,3,12
42,Yes,Travel_Frequently,1165,Research & Development,15,1,Other,1,40,4,Female,44,4,1,Research Scientist,1,Divorced,6595,2810,1,Y,No,12,2,2,80,1,37,5,4,23,10,8,5
